Depth Generated Branching Elapsed NodesPerMs
1 2 2.000000 0ms 1.#INF00
2 4 2.000000 0ms 1.#INF00
3 10 2.500000 0ms 1.#INF00
4 26 2.600000 0ms 1.#INF00
5 64 2.461538 0ms 1.#INF00
6 160 2.500000 0ms 1.#INF00
7 372 2.325000 0ms 1.#INF00
8 888 2.387097 1ms 888.000000
9 1996 2.247748 0ms 1.#INF00
10 4872 2.440882 4ms 1218.000000
11 11324 2.324302 9ms 1258.222222
12 27608 2.438008 23ms 1200.347826
13 63524 2.300927 58ms 1095.241379
14 154560 2.433096 159ms 972.075472
15 355836 2.302252 340ms 1046.576471
16 866008 2.433728 929ms 932.193757
17 1993748 2.302228 1738ms 1147.150748
18 4854112 2.434667 4423ms 1097.470495
19 11181004 2.303409 10992ms 1017.194687
20 27216632 2.434185 23118ms 1177.291807
21 62666404 2.302504 56618ms 1106.828288
22 152545216 2.434242 136075ms 1121.037781
23 351287868 2.302844 306261ms 1147.021227
